,info,habs,m2,floor,price,elevator,exterior,neigh,type
374,"Piso en calle de Balmes, Sant Gervasi - La Bonanova, Barcelona",5,242.0,5.0,980000,True,True,Sant Gervasi - La Bonanova,Piso
375,"Piso en calle de l'Avenir, Sant Gervasi - Galvany, Barcelona",4,180.0,4.0,860000,True,True,Sant Gervasi - Galvany,Piso
376,"Ático en Sant Gervasi - La Bonanova, Barcelona",3,151.0,7.0,690000,True,True,Sant Gervasi - La Bonanova,Ático
377,"Ático en El Putxet i el Farró, Barcelona",3,151.0,7.0,690000,True,True,El Putxet i el Farró,Ático
378,"Piso en ronda de Sant Pere, La Dreta de l'Eixample, Barcelona",2,100.0,4.0,640000,True,True,La Dreta de l'Eixample,Piso
379,"Piso en calle de la Costa, El Putxet i el Farró, Barcelona",3,75.0,,299000,True,False,El Putxet i el Farró,Piso
380,"Piso en calle de Saragossa, El Putxet i el Farró, Barcelona",3,105.0,,595000,True,False,El Putxet i el Farró,Piso
381,"Piso en El Gòtic, Barcelona",3,145.0,2.0,560000,False,True,El Gòtic,Piso
382,"Piso en via Augusta, Sant Gervasi - Galvany, Barcelona",4,215.0,,1190000,True,False,Sant Gervasi - Galvany,Piso
383,"Piso en via Augusta, Sant Gervasi - Galvany, Barcelona",8,275.0,,1095000,True,False,Sant Gervasi - Galvany,Piso
384,"Piso en avenida Diagonal, Sant Gervasi - Galvany, Barcelona",5,189.0,,1100000,True,False,Sant Gervasi - Galvany,Piso
385,"Piso en calle de Castellnou, Les Tres Torres, Barcelona",3,105.0,,739000,False,False,Les Tres Torres,Piso
386,"Ático en Vallcarca i els Penitents, Barcelona",2,108.0,3.0,530000,True,True,Vallcarca i els Penitents,Ático
387,"Piso en calle de Can Segalar, Les Corts, Barcelona",2,82.0,4.0,862000,True,True,Les Corts,Piso
388,"Ático en calle Viladomat, La Nova Esquerra de l'Eixample, Barcelona",4,118.0,8.0,650000,True,True,La Nova Esquerra de l'Eixample,Ático
389,"Piso en calle d'Entença, La Nova Esquerra de l'Eixample, Barcelona",4,140.0,4.0,530000,True,True,La Nova Esquerra de l'Eixample,Piso
390,"Piso en calle de Ramon Miquel i Planas, Sarrià, Barcelona",2,60.0,2.0,350000,True,True,Sarrià,Piso
391,"Piso en calle de les Tres Torres, Les Tres Torres, Barcelona",3,152.0,4.0,795000,True,True,Les Tres Torres,Piso
392,"Piso en calle de Caballero, Les Corts, Barcelona",1,51.0,1.0,280000,True,True,Les Corts,Piso
393,"Piso en calle de Sol i Padrís, Sarrià, Barcelona",3,92.0,,598000,True,False,Sarrià,Piso
394,"Piso en calle de Viladomat, La Nova Esquerra de l'Eixample, Barcelona",3,75.0,4.0,365000,True,True,La Nova Esquerra de l'Eixample,Piso
395,"Piso en calle de Calàbria, Sant Antoni, Barcelona",3,84.0,1.0,359000,True,True,Sant Antoni,Piso
396,"Piso en calle De Descartes, Sant Gervasi - Galvany, Barcelona",4,152.0,3.0,695000,True,True,Sant Gervasi - Galvany,Piso
397,"Piso en calle d'Aribau, L'Antiga Esquerra de l'Eixample, Barcelona",4,149.0,3.0,710000,True,True,L'Antiga Esquerra de l'Eixample,Piso
398,"Piso en calle de Caballero, Les Corts, Barcelona",1,51.0,1.0,280000,True,True,Les Corts,Piso
399,"Piso en calle de Caballero, Les Corts, Barcelona",1,49.0,2.0,315000,True,True,Les Corts,Piso
400,"Piso en calle de Verdi, La Salut, Barcelona",3,78.0,,255000,True,False,La Salut,Piso
401,"Piso en Marina, 247, La Sagrada Família, Barcelona",3,83.0,3.0,418000,True,True,La Sagrada Família,Piso
402,"Piso en calle de Josep Sangenís, La Teixonera, Barcelona",2,78.0,,240000,True,False,La Teixonera,Piso
403,"Piso en calle de Valencia, La Nova Esquerra de l'Eixample, Barcelona",2,71.0,4.0,369000,True,True,La Nova Esquerra de l'Eixample,Piso
404,"Piso en El Fort Pienc, Barcelona",3,100.0,5.0,335000,True,True,El Fort Pienc,Piso
405,"Piso en L'Antiga Esquerra de l'Eixample, Barcelona",3,133.0,2.0,750000,True,True,L'Antiga Esquerra de l'Eixample,Piso
406,"Piso en La Sagrada Família, Barcelona",3,385.0,,1450000,False,False,La Sagrada Família,Piso
407,"Piso en Pedralbes, Barcelona",5,227.0,,1095000,False,False,Pedralbes,Piso
408,"Piso en calle de Puerto Príncipe, El Congrés i els Indians, Barcelona",4,89.0,4.0,264000,True,True,El Congrés i els Indians,Piso
409,"Piso en calle de Ruiz de Padrón, El Camp de l'Arpa del Clot, Barcelona",3,75.0,,230000,True,False,El Camp de l'Arpa del Clot,Piso
410,"Piso en calle de Mallorca, El Camp de l'Arpa del Clot, Barcelona",3,67.0,3.0,205000,True,True,El Camp de l'Arpa del Clot,Piso
411,"Piso en calle del Rosselló, La Dreta de l'Eixample, Barcelona",3,85.0,,360000,True,True,La Dreta de l'Eixample,Piso
412,"Piso en calle del Comandant Benítez, La Maternitat i Sant Ramon, Barcelona",4,80.0,1.0,290000,True,True,La Maternitat i Sant Ramon,Piso
413,"Piso en calle del Moianès, Hostafrancs, Barcelona",3,70.0,2.0,215000,True,True,Hostafrancs,Piso
414,"Piso en calle de Sardenya, 98, El Parc i la Llacuna del Poblenou, Barcelona",1,62.0,1.0,390000,True,True,El Parc i la Llacuna del Poblenou,Piso
415,"Piso en carretera del Prat, 46, La Marina del Port, Barcelona",3,86.0,2.0,299000,True,True,La Marina del Port,Piso
416,"Piso en Salva, El Poble Sec - Parc de Montjuïc, Barcelona",3,129.0,,446000,True,False,El Poble Sec - Parc de Montjuïc,Piso
417,"Piso en avenida de Madrid, Sants, Barcelona",3,92.0,6.0,375000,True,True,Sants,Piso
418,"Piso en calle de Jaume Vicens i Vives, La Vila Olímpica del Poblenou, Barcelona",3,111.0,4.0,586000,True,True,La Vila Olímpica del Poblenou,Piso
419,"Piso en calle Comte d'Urgell, 237, L'Antiga Esquerra de l'Eixample, Barcelona",2,140.0,4.0,750000,True,True,L'Antiga Esquerra de l'Eixample,Piso
420,"Piso en El Camp d'En Grassot i Gràcia Nova, Barcelona",4,77.0,3.0,180000,True,False,El Camp d'En Grassot i Gràcia Nova,Piso
421,"Piso en calle del Perú, Provençals del Poblenou, Barcelona",4,79.0,4.0,195000,True,True,Provençals del Poblenou,Piso
422,"Piso en calle de Vilamur, 18, Les Corts, Barcelona",2,60.0,,358000,True,False,Les Corts,Piso
423,"Piso en calle de la Marina, El Fort Pienc, Barcelona",3,104.0,5.0,590000,True,True,El Fort Pienc,Piso
424,"Piso en Gran Via de les Corts Catalanes, El Fort Pienc, Barcelona",4,140.0,4.0,625000,True,False,El Fort Pienc,Piso
425,"Piso en calle de las Navas de Tolosa, Navas, Barcelona",3,75.0,,305000,True,False,Navas,Piso
426,"Piso en calle de las Navas de Tolosa, Navas, Barcelona",4,115.0,,380000,True,False,Navas,Piso
427,"Piso en calle del Vallespir, Sants, Barcelona",2,83.0,,320000,True,False,Sants,Piso
428,"Piso en calle de Casp, La Dreta de l'Eixample, Barcelona",2,110.0,,599000,True,False,La Dreta de l'Eixample,Piso
429,"Piso en Sarrià, Barcelona",3,85.0,1.0,365000,False,False,Sarrià,Piso
430,"Piso en hurtado, 7, El Putxet i el Farró, Barcelona",3,207.0,,755000,True,False,El Putxet i el Farró,Piso
431,"Piso en Sant Antoni, Barcelona",2,100.0,5.0,535000,True,True,Sant Antoni,Piso
432,"Piso en paseo de la Zona Franca, La Marina del Port, Barcelona",5,125.0,,380000,True,False,La Marina del Port,Piso
433,"Piso en El Poble Sec - Parc de Montjuïc, Barcelona",4,120.0,6.0,410000,True,False,El Poble Sec - Parc de Montjuïc,Piso
434,"Piso en Les Tres Torres, Barcelona",3,166.0,4.0,1350000,False,False,Les Tres Torres,Piso
435,"Piso en Passatge de Cardedeu, Vallcarca i els Penitents, Barcelona",5,260.0,2.0,1050000,True,True,Vallcarca i els Penitents,Piso
